Name,Course_title,Course_name,Session,Class_Number,Career,Units,Grading,Description,Enrollment_Requirements,Add_Consent,Instructor,Meets,Dates,Room,Instruction_Mode,Campus,Location,Components,Status
Section: A-LEC (17224)  Session: Regular Academic Session Days/Times: MoWe 2:00pm - 3:15pm Dates: 01/27/2020 - 05/11/2020 Instructor: Deane Yang Status: Open This is a combined section class,MA-UY 4674 - A,Differential Geometry,Regular Academic Session,17224,Undergraduate,4 units,Ugrd Tandon Graded,"The differential properties of curves and surfaces. Introduction to manifolds and Riemannian geometry. | Prerequisites: C or better in MA-UY 2114 and (MA-UY 3044, MA-UY 3054 or MA-UY 3113).",None,"MA-UY 4674 Prerequisites: C or better in MA-UY 2114 and (MA-UY 3044, MA-UY 3054 or MA-UY 3113)",Deane Yang,MoWe 2:00PM - 3:15PM,Bldg:CIWW  Room:312 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: B-LEC (17136)  Session: Regular Academic Session Days/Times: TuTh 6:00pm - 7:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Edward Miller Status: Open,MA-UY 3113 - B,Advanced Linear Algebra and Complex Variables,Regular Academic Session,17136,Undergraduate,3 units,Ugrd Tandon Graded,"This course provides a deeper understanding of topics introduced in MA-UY 2012 and MA-UY 2034 and continues the development of those topics, while also covering functions of a Complex Variable. Topics covered include: The Gram-Schmidt process, inner product spaces and applications, singular value decomposition, LU decomposition. Derivatives and Cauchy-Riemann equations, integrals and Cauchy integral theorem. Power and Laurent Series, residue theory.  | Prerequisites: (MA-UY 2122 or MA-UY 2114) AND (MA-UY 2012 or MA-UY 2034). Note: Not open to students who have taken MA-UY 1533, MA-UY 3112 or MA-UY 4433.",None,MA-UY 3113 Prerequisites: MA-UY 2122 or MA-UY 2114 AND MA-UY 2012 or MA-UY 2034. Note: Not open to students who have taken MA-UY 3112.,Edward Miller,TuTh 6:00PM - 7:20PM,Jacobs Academic Bldg Rm 777 Loc: Brooklyn Campus,01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: E-LEC (17080)  Session: Regular Academic Session Days/Times: MoWe 12:30pm - 2:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Jinghua Qian Status: Open,MA-UY 2224 - E,Data Analysis,Regular Academic Session,17080,Undergraduate,4 units,Ugrd Tandon Graded,"An introductory course to probability and statistics. It affords the student some acquaintance with both probability and statistics in a single term. Topics in Probability include mathematical treatment of chance; combinatorics; binomial, Poisson, and Gaussian distributions; the Central Limit Theorem and the normal approximation. Topics in Statistics include sampling distributions of sample mean and sample variance; normal, t-, and Chi-square distributions; confidence intervals; testing of hypotheses; least squares regression model. Applications to scientific, industrial, and financial data are integrated into the course.NOTE: Not open to students who have taken MA-UY 2233 or MA-UY 3012 or MA-UY 3022. | Prerequisite: MA-UY 1124, MA-UY1424, or MA-UY 1132",None,"MA-UY 2224 Prerequisite: MA-UY 1124, MA-UY 1424, or MA-UY 1132, Anti-Requisites: MA-UY 2233, MA-UY 3022, MA-UY 2414, MA-UY 2054 or MA-UY 3014",Jinghua Qian,MoWe 12:30PM - 2:20PM,Jacobs Academic Bldg Rm 774 Loc: Brooklyn Campus,01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: E-LEC (16994)  Session: Regular Academic Session Days/Times: TuTh 4:00pm - 5:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Rachel Jacobovits Status: Open,MA-UY 2034 - E,Linear Algebra and Differential Equations,Regular Academic Session,16994,Undergraduate,4 units,Ugrd Tandon Graded,"MA-UY 2034 is an introduction to ordinary differential equations and linear algebra. The course develops the techniques for the analytic and numeric solutions of ordinary differential equations (and systems) that are widely used in modern engineering and science. Linear algebra is used as a tool for solving systems of linear equations as well as for understanding the structure of solutions to linear (systems) of differential equations. Topics covered include the fundamental concepts of linear algebra such as Gaussian elimination, matrix theory, linear transformations, vector spaces, subspaces, basis, eigenvectors, eigenvalues and the diagonalization of matrices, as well as the techniques for the analytic and numeric solutions of ordinary differential equations (and systems) that commonly appear in modern engineering and science. | Prerequisite: MA-UY 1124, MA-UY 1424 or MA-UY 1132. Note: Not open to students who have taken MA-UY 3044 or MA-UY 3054 or MA-UY 3083 or MA-UY 4204.",None,"MA-UY 2034 Prerequisite: MA-UY 1124, MA-UY 1424, or MA-UY 1132, Anti-Requisite: MA-UY 3044 or MA-UY 3054 or MA-UY 4204",Rachel Jacobovits,TuTh 4:00PM - 5:50PM,Jacobs Academic Bldg Rm 775B Loc: Brooklyn Campus,01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: A-LEC (17218)  Session: Regular Academic Session Days/Times: MoWe 3:30pm - 4:45pm Dates: 01/27/2020 - 05/11/2020 Instructor: Liming Pang Status: Closed This is a combined section class,MA-UY 4314 - A,Combinatorics,Regular Academic Session,17218,Undergraduate,4 units,Ugrd Tandon Graded,"Techniques for counting and enumeration including generating functions, the principle of inclusion and exclusion, and Polya counting. Graph theory. Modern algorithms and data structures for graph-theoretic problems. | Prerequisite: C or better in MA-UY 1124, MA-UY 1424 or MA-UY 1132",None,"MA-UY 4314 Prerequisite: C or better in MA-UY 1124, MA-UY 1424 or MA-UY 1132",Liming Pang,MoWe 3:30PM - 4:45PM,Bldg:CIWW  Room:312 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: A-LEC (16659)  Session: Regular Academic Session Days/Times: MoWe 8:30am - 11:20am Dates: 01/27/2020 - 05/11/2020 Instructor: Irina Bronstein Status: Open,MA-UY 1324 - A,Integrated Calculus I for Engineers,Regular Academic Session,16659,Undergraduate,4 units,Ugrd Tandon Graded,"This course covers: Library of Functions, functions of one variable. Limits, derivatives of functions defined by graphs, tables and formulas, differentiation rules for power, polynomial, exponential and logarithmic functions, derivatives of trigonometric functions, the product and quotient rules, the chain rule, applications of the chain rule, maxima and minima, optimization. The definite integral, the Fundamental Theorem of Calculus and interpretations, theorems about definite integrals, anti-derivatives. MA-UY 1324 is for students who wish to take MA-UY 1024 but need more review of precalculus. MA-UY 1324 covers the same material as MA-UY 1024 but with more contact hours per week, incorporating a full discussion of the required precalculus topics. | Prerequisite: Placement Exam or MA-UY 912 or MA-UY 914. Corequisite: EX-UY 1.",None,Prerequisite: Placement Exam or MA-UY 0912 or MA-UY 0914. Corequisite: EX-UY 1.,Irina Bronstein,MoWe 8:30AM - 11:20AM,"Rogers Hall, Rm 503 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: G-LEC (17298)  Session: Regular Academic Session Days/Times: MoWe 8:30am - 10:20am Dates: 01/27/2020 - 05/11/2020 Instructor: Naima Hammoud Status: Closed This is a combined section class,MA-UY 3044 - G,Linear Algebra,Regular Academic Session,17298,Undergraduate,4 units,Ugrd Tandon Graded,"Systems of linear equations, Gaussian elimination, matrices, determinants, Cramer's rule. Vectors, vector spaces, basis and dimension, linear transformations. Eigenvalues, eigenvectors, and quadratic forms. Restricted to Tandon math and CS majors and students with a permission code from the math department. Fulfills linear algebra requirement for the BS Math and BS CS degrees.  Note: Not open to students who have already taken MA-UY 1533, MA-UY 2034, MA-UY 3113 or MA-UY 3054. | Prerequisite: C or better in MA-UY 1024 or MA-UY 1324 or MA-UY 1022",None,"MA-UY 3044 Prerequisites: A grade of C or better in MA-UY 1024 or MA-UY 1324 or MA-UY 1022, Anti-Requisites: MA-UY 2034 or MA-UY 3054",Naima Hammoud,MoWe 8:30AM - 10:20AM,"Rogers Hall, Rm 325 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Closed
Section: F-LEC (17168)  Session: Regular Academic Session Days/Times: MoWe 6:00pm - 7:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Nicholas E Spizzirri Status: Open,MA-UY 2114 - F,Calculus III: Multi-Dimensional Calculus,Regular Academic Session,17168,Undergraduate,4 units,Ugrd Tandon Graded,"Vectors in the plane and space. Partial derivatives with applications, especially Lagrange multipliers. Double and triple integrals. Spherical and cylindrical coordinates. Surface and line integrals. Divergence, gradient, and curl. Theorems of Gauss and Stokes. | Prerequisite: MA-UY 1124 or MA-UY 1424 or MA-UY 1132.",None,"MA-UY 2114 Prerequisite: MA-UY 1124, MA-UY 1424, or MA-UY 1132",Nicholas E Spizzirri,MoWe 6:00PM - 7:50PM,2 MetroTechCtr Rm 812 Loc: Brooklyn Campus,01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: D-LEC (17295)  Session: Regular Academic Session Days/Times: TuTh 3:30pm - 5:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Charles Edward Puelz Status: Closed This is a combined section class,MA-UY 3044 - D,Linear Algebra,Regular Academic Session,17295,Undergraduate,4 units,Ugrd Tandon Graded,"Systems of linear equations, Gaussian elimination, matrices, determinants, Cramer's rule. Vectors, vector spaces, basis and dimension, linear transformations. Eigenvalues, eigenvectors, and quadratic forms. Restricted to Tandon math and CS majors and students with a permission code from the math department. Fulfills linear algebra requirement for the BS Math and BS CS degrees.  Note: Not open to students who have already taken MA-UY 1533, MA-UY 2034, MA-UY 3113 or MA-UY 3054. | Prerequisite: C or better in MA-UY 1024 or MA-UY 1324 or MA-UY 1022",None,"MA-UY 3044 Prerequisites: A grade of C or better in MA-UY 1024 or MA-UY 1324 or MA-UY 1022, Anti-Requisites: MA-UY 2034 or MA-UY 3054",Charles Edward Puelz,TuTh 3:30PM - 5:20PM,Bldg:25W4  Room:C-20 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,Lecture Required,Open
Section: B-LEC (16663)  Session: Regular Academic Session Days/Times: TuTh 2:00pm - 4:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Tsz Chung Lo Status: Open,MA-UY 1424 - B,Integrated Calculus II for Engineers,Regular Academic Session,16663,Undergraduate,4 units,Ugrd Tandon Graded,"This course MA-UY 1424 is for students who wish to take MA-UY 1124 but need more review of precalculus. MA-UY 1424 covers the same material as MA-UY 1124 but with more contact hours a week, incorporating a full discussion of the required precalculus topics. | Prerequisites: MA-UY 1022 or MA-UY 1024 or MA-UY 1324.  Note: credit for this course may be used to satisfy the minimum credit requirement for graduation. Corequisite: EX-UY 1",None,MA-UY 1424 Prerequisites: MA-UY 1022 or MA-UY 1024 or MA-UY 1324.  Note: credit for this course may be used to satisfy the minimum credit requirement for graduation. Corequisite: EX-UY 1,Tsz Chung Lo,TuTh 2:00PM - 4:50PM,"Rogers Hall, Rm 204 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: BRC-RCT (17354)  Session: Regular Academic Session Days/Times: Fr 11:00am - 12:15pm Dates: 01/27/2020 - 05/11/2020 Instructor: Anthony S Trubiano Status: Closed This is a combined section class,MA-UY 4424 - BRC,NUMERICAL ANALYSIS,Regular Academic Session,17354,Undergraduate,0 units,Ugrd Tandon Graded,"In numerical analysis one explores how mathematical problems can be analyzed and solved with a computer. As such, numerical analysis has very broad applications in mathematics, physics, engineering, finance, and the life sciences. This course gives an introduction to this subject for mathematics majors. Theory and practical examples using Matlab will be combined to study a range of topics ranging from simple root-finding procedures to differential equations and the finite element method. | Prerequisites: A grade of C or better in MA-UY 2114 and (MA-UY 3034 or MA-UY 3044 or MA-UY 3054 or MA-UY 3113)",None,Prerequisites: A grade of C or better in MA-UY 2114 and (MA-UY 3034 or MA-UY 3044 or MA-UY 3054 or MA-UY 3113),Anthony S Trubiano,Fr 11:00AM - 12:15PM,Bldg:CIWW  Room:517 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: A-LEC (16916)  Session: Regular Academic Session Days/Times: TuTh 4:00pm - 5:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Nicholas E Spizzirri Status: Open,MA-UY 2414 - A,Basic Practice of Statistics for Social Science,Regular Academic Session,16916,Undergraduate,4 units,Ugrd Tandon Graded,"We are inundated by data, but data alone do not translate into useful information. Statistics provides the means for organizing, summarizing, and therefore better analyzing data so that we can understand what the data tell us about critical questions. If one collects data then understanding how to use statistical methods is critical, but it is also necessary to understand and interpret all the information we consume on a daily basis. This course provides these basic statistical approaches and techniques. This course may not be acceptable as a substitute for any other Probability and Statistics course. For Sustainable Urban Environments (SUE) students, please see your advisor. Note: This course does not count towards degree if student has already taken MA-UY 2224 or MA-UY 2054.",None,"MA-UY 2414 Anti-Requisites: MA-UY 2224, MA-UY 2233, MA-UY 3022, MA-UY 2054 or MA-UY 3014.",Nicholas E Spizzirri,TuTh 4:00PM - 5:50PM,Jacobs Academic Bldg Rm 774 Loc: Brooklyn Campus,01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: A-LEC (23766)  Session: Regular Academic Session Days/Times: MoWe 9:30am - 10:45am Dates: 01/27/2020 - 05/11/2020 Instructor: Antonio De Rosa Status: Open This is a combined section class,MA-UY 4644 - A,HONORS ANALYSIS I,Regular Academic Session,23766,Undergraduate,4 units,Ugrd Tandon Graded,"This is an introduction to the rigorous treatment of the foundations of real analysis in one variable. It is based entirely on proofs. Students are expected to know what a mathematical proof is and are also expected to be able to read a proof before taking this class. Topics include: properties of the real number system, sequences, continuous functions, topology of the real line, compactness, derivatives, the Riemann integral, sequences of functions, uniform convergence, infinite series and Fourier series. Additional topics may include: Lebesgue measure and integral on the real line, metric spaces, and analysis on metric spaces. | Prerequisites: A grade of B or better in MA-UY 2114 and (MA-UY 3044 or MA-UY 3054 or MA-UY 3034 or MA-UY 3113).",None,MA-UY 4644 Prerequisites: A grade of B or better in MA-UY 2114 and (MA-UY 3044 or MA-UY 3054 or MA-UY 3034 or MA-UY 3113).,Antonio De Rosa,MoWe 9:30AM - 10:45AM,Bldg:CIWW  Room:317 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: A-LEC (17210)  Session: Regular Academic Session Days/Times: MoWe 9:30am - 10:45am Dates: 01/27/2020 - 05/11/2020 Instructor: Silvia Espinosa Status: Closed This is a combined section class,MA-UY 4204 - A,Ordinary Diff Equations,Regular Academic Session,17210,Undergraduate,4 units,Ugrd Tandon Graded,"A first course in ordinary differential equations, including analytical solution methods, elementary numerical methods, and modeling. Topics to be covered include: first-order equations including integrating factors; second-order equations including variation of parameters; series solutions; elementary numerical methods including Euler's methods, Runge-Kutta methods, and error analysis; Laplace transforms; systems of linear equations; boundary-value problems. Restricted to Tandon math majors and students with a permission code from the math department. Fulfills ordinary differential equations requirement for the BS Math degree.  | Prerequisites: C or better in MA-UY 2114 and (MA-UY 3044 or MA-UY 3054 or MA-UY 3113).  Note: Not open to students who have taken MA-UY 2034.",None,"MA-UY 4204 Prerequisites: C or better in MA-UY 2114 and (MA-UY 3044 or MA-UY 3054 or MA-UY 3113), Anti-Requisites: MA-UY 2034",Silvia Espinosa,MoWe 9:30AM - 10:45AM,Bldg:CIWW  Room:101 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: REC1-RCT (16979)  Session: Regular Academic Session Days/Times: Th 10:00am - 10:50am Dates: 01/27/2020 - 05/11/2020 Instructor: Yuhong Yu Status: Closed,MA-UY 2314 - REC1,Discrete Mathematics,Regular Academic Session,16979,Undergraduate,0 units,Ugrd Tandon Graded,"Logic, proofs, set theory, functions, relations, asymptotic notation, recurrences, modeling computation, graph theory. | Prerequisite: Math Diagnostic Exam or MA-UY 912 or MA-UY 914 (minimum calculus level required) | Prerequisite for Shanghai students: MATH-SHU 110. Note: This course and CS-GY 6003 cannot both be taken for credit. Co-requisite: EX-UY 2",None,MA-UY 2314 Prerequisite: Math Diagnostic Exam or MA-UY 912 or MA-UY 914 (minimum calculus level required) and Co-requisite: EX-UY 2 | Prerequisite for Shanghai students: MATH-SHU 110 and Co-requisite: EX-UY 2,Yuhong Yu,Th 10:00AM - 10:50AM,"2 MetroTechCtr, Rm 820 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,"Lecture Required, Recitation Required",Open
Section: D-LEC (16993)  Session: Regular Academic Session Days/Times: TuTh 4:00pm - 5:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Lindsey Van Wagenen Status: Open,MA-UY 2034 - D,Linear Algebra and Differential Equations,Regular Academic Session,16993,Undergraduate,4 units,Ugrd Tandon Graded,"MA-UY 2034 is an introduction to ordinary differential equations and linear algebra. The course develops the techniques for the analytic and numeric solutions of ordinary differential equations (and systems) that are widely used in modern engineering and science. Linear algebra is used as a tool for solving systems of linear equations as well as for understanding the structure of solutions to linear (systems) of differential equations. Topics covered include the fundamental concepts of linear algebra such as Gaussian elimination, matrix theory, linear transformations, vector spaces, subspaces, basis, eigenvectors, eigenvalues and the diagonalization of matrices, as well as the techniques for the analytic and numeric solutions of ordinary differential equations (and systems) that commonly appear in modern engineering and science. | Prerequisite: MA-UY 1124, MA-UY 1424 or MA-UY 1132. Note: Not open to students who have taken MA-UY 3044 or MA-UY 3054 or MA-UY 3083 or MA-UY 4204.",None,"MA-UY 2034 Prerequisite: MA-UY 1124, MA-UY 1424, or MA-UY 1132, Anti-Requisite: MA-UY 3044 or MA-UY 3054 or MA-UY 4204",Lindsey Van Wagenen,TuTh 4:00PM - 5:50PM,"Rogers Hall, Rm 615 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: D-IND (20321)  Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Staff Status: Open,MA-UY 492X - D,INDEPENDENT STUDY,Regular Academic Session,20321,Undergraduate,1 - 4 units,Ugrd Tandon Graded,"In this course, students read, study and investigate selected topics in mathematics.  Students discuss and present problems. | Prerequisite: departmental adviserâ€™s approval.",None,Department Consent Required,Staff,TBA,No Room Required Loc: Brooklyn Campus,01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Independent Study Required,Open
Section: A-LEC (17476)  Session: Regular Academic Session Days/Times: TuTh 5:00pm - 6:15pm Dates: 01/27/2020 - 05/11/2020 Instructor: Marco Avellaneda Status: Closed This is a combined section class,MA-UY 4324 - A,MATHEMATICS OF FINANCE,Regular Academic Session,17476,Undergraduate,4 units,Ugrd Tandon Graded,"Introduction to the mathematics of finance. Topics include: Linear programming with application pricing and quadratic. Interest rates and present value. Basic probability: random walks, central limit theorem, Brownian motion, lognormal model of stock prices. Black-Scholes theory of options. Dynamic programming with application to portfolio optimization. | Prerequisites: A grade of C+ or better in MA-UY 2114 and a grade of C+ or better in (MA-UY 2054 or MA-UY 2224 or MA-UY 2233 or MA-UY 2414 or MA-UY 3014 or MA-UY 3022 or MA-UY 3514 or MA-UY 4114).",None,MA-UY 4324 Prerequisites: A grade of C+ or better in MA-UY 2114 and a grade of C+ or better in (MA-UY 2054 or MA-UY 2224 or MA-UY 2233 or MA-UY 2414 or MA-UY 3014 or MA-UY 3022 or MA-UY 4114).,Marco Avellaneda,TuTh 5:00PM - 6:15PM,Bldg:CIWW  Room:102 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: B-LEC (16834)  Session: Regular Academic Session Days/Times: TuTh 2:00pm - 3:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Ken Cereste Status: Open,MA-UY 1024 - B,Calculus I for Engineers,Regular Academic Session,16834,Undergraduate,4 units,Ugrd Tandon Graded,"This course covers: Library of Functions, functions of one variable. Limits, derivatives of functions defined by graphs, tables and formulas, differentiation rules for power, polynomial, exponential and logarithmic functions, derivatives of trigonometric functions, the product and quotient rules, the chain rule, applications of the chain rule, maxima and minima, optimization. The definite integral, the Fundamental Theorem of Calculus and interpretations, theorems about definite integrals, anti-derivatives. MA-UY 1324 is for students who wish to take MA-UY 1024 but need more review of precalculus. MA-UY 1324 covers the same material as MA-UY 1024 but with more contact hours per week, incorporating a full discussion of the required precalculus topics. | Prerequisite: Placement Exam or MA-UY 912 or MA-UY 914 (with a grade of B or better). Corequisite: EX-UY 1",None,Prerequisite: Placement Exam or MA-UY 912 or MA-UY 914 (with a grade B or better). Corequisite: EX-UY 1,Ken Cereste,TuTh 2:00PM - 3:50PM,"Rogers Hall, Rm 325 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: A-LEC (23584)  Session: Regular Academic Session Days/Times: TuTh 9:30am - 10:45am Dates: 01/27/2020 - 05/11/2020 Instructor: Eyal Lubetzky Status: Open This is a combined section class,MA-UY 3514 - A,Honors Probability,Regular Academic Session,23584,Undergraduate,4 units,Ugrd Tandon Graded,"The aim of this class is to introduce students to probability theory, with a greater emphasis on rigor, more material, and a faster pace than the Theory of Probability/Applied Probability class. The material will include discrete and continuous probability, and the most fundamental limit theorems (law of large numbers and Central Limit Theorem). Students will be made familiar with the classical models, computations on densities, and convergence to universal distributions. They will also be expected to understand the proofs of all the results seen in class, and be able to argue with mathematical rigor.  Note: While B+ or higher is the standard requirement for this course, the department will consider petitions sent to soe.math@nyu.edu if you are on the borderline of that requirement. Not open to students who have taken MA-UY 3014. | Prerequisites: MA-UY 2114 with a grade of B+ or better, and (MA-UY 2034 or MA-UY 3034 or MA-UY 3044 or MA-UY 3054) with a grade of B+ or better, and MA-UY 2314 with a grade of B+ or better. Anti-Requisites: MA-UY 3014",None,,TuTh 9:30AM - 10:45AM,01/27/2020 - 05/11/2020,Bldg:CIWW  Room:101 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,"Lecture Required, Recitation Required","Lecture Required, Recitation Required",Open
Section: C-LEC (17001)  Session: Regular Academic Session Days/Times: MoWe 12:30pm - 2:20pm Dates: 01/27/2020 - 05/11/2020 Instructor: Elizabeth Stepp Status: Closed,MA-UY 2224 - C,Data Analysis,Regular Academic Session,17001,Undergraduate,4 units,Ugrd Tandon Graded,"An introductory course to probability and statistics. It affords the student some acquaintance with both probability and statistics in a single term. Topics in Probability include mathematical treatment of chance; combinatorics; binomial, Poisson, and Gaussian distributions; the Central Limit Theorem and the normal approximation. Topics in Statistics include sampling distributions of sample mean and sample variance; normal, t-, and Chi-square distributions; confidence intervals; testing of hypotheses; least squares regression model. Applications to scientific, industrial, and financial data are integrated into the course.NOTE: Not open to students who have taken MA-UY 2233 or MA-UY 3012 or MA-UY 3022. | Prerequisite: MA-UY 1124, MA-UY1424, or MA-UY 1132",None,"MA-UY 2224 Prerequisite: MA-UY 1124, MA-UY 1424, or MA-UY 1132, Anti-Requisites: MA-UY 2233, MA-UY 3022, MA-UY 2414, MA-UY 2054 or MA-UY 3014",Elizabeth Stepp,MoWe 12:30PM - 2:20PM,2 MetroTechCtr Rm 9.007 Loc: Brooklyn Campus,01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Closed
Section: C-LEC (16661)  Session: Regular Academic Session Days/Times: TuTh 2:00pm - 4:50pm Dates: 01/27/2020 - 05/11/2020 Instructor: Amakoe G.E.D. Gbedemah Status: Open,MA-UY 1324 - C,Integrated Calculus I for Engineers,Regular Academic Session,16661,Undergraduate,4 units,Ugrd Tandon Graded,"This course covers: Library of Functions, functions of one variable. Limits, derivatives of functions defined by graphs, tables and formulas, differentiation rules for power, polynomial, exponential and logarithmic functions, derivatives of trigonometric functions, the product and quotient rules, the chain rule, applications of the chain rule, maxima and minima, optimization. The definite integral, the Fundamental Theorem of Calculus and interpretations, theorems about definite integrals, anti-derivatives. MA-UY 1324 is for students who wish to take MA-UY 1024 but need more review of precalculus. MA-UY 1324 covers the same material as MA-UY 1024 but with more contact hours per week, incorporating a full discussion of the required precalculus topics. | Prerequisite: Placement Exam or MA-UY 912 or MA-UY 914. Corequisite: EX-UY 1.",None,Prerequisite: Placement Exam or MA-UY 0912 or MA-UY 0914. Corequisite: EX-UY 1.,Amakoe Gbedemah,TuTh 2:00PM - 4:50PM,"Rogers Hall, Rm 503 Loc: Brooklyn Campus",01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Lecture Required,Open
Section: ARC-RCT (17211)  Session: Regular Academic Session Days/Times: Fr 11:00am - 12:15pm Dates: 01/27/2020 - 05/11/2020 Instructor: Chen Li Status: Closed This is a combined section class,MA-UY 4204 - ARC,Ordinary Diff Equations,Regular Academic Session,17211,Undergraduate,0 units,Ugrd Tandon Graded,"A first course in ordinary differential equations, including analytical solution methods, elementary numerical methods, and modeling. Topics to be covered include: first-order equations including integrating factors; second-order equations including variation of parameters; series solutions; elementary numerical methods including Euler's methods, Runge-Kutta methods, and error analysis; Laplace transforms; systems of linear equations; boundary-value problems. Restricted to Tandon math majors and students with a permission code from the math department. Fulfills ordinary differential equations requirement for the BS Math degree.  | Prerequisites: C or better in MA-UY 2114 and (MA-UY 3044 or MA-UY 3054 or MA-UY 3113).  Note: Not open to students who have taken MA-UY 2034.",None,"MA-UY 4204 Prerequisites: C or better in MA-UY 2114 and (MA-UY 3044 or MA-UY 3054 or MA-UY 3113), Anti-Requisites: MA-UY 2034",Chen Li,Fr 11:00AM - 12:15PM,Bldg:CIWW  Room:101 Loc: Washington Square,01/27/2020 - 05/11/2020,In-Person,Washington Square,Washington Square,"Lecture Required, Recitation Required",Open
Section: C-IND (20309)  Session: Regular Academic Session Days/Times: TBA Dates: 01/27/2020 - 05/11/2020 Instructor: Staff Status: Open,MA-UY 492X - C,INDEPENDENT STUDY,Regular Academic Session,20309,Undergraduate,1 - 4 units,Ugrd Tandon Graded,"In this course, students read, study and investigate selected topics in mathematics.  Students discuss and present problems. | Prerequisite: departmental adviserâ€™s approval.",None,Department Consent Required,Staff,TBA,No Room Required Loc: Brooklyn Campus,01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,Independent Study Required,Open
Section: CRC-RCT (24821)  Session: Regular Academic Session Days/Times: Fr 11:00am - 12:15pm Dates: 01/27/2020 - 05/11/2020 Instructor: Qirui Peng Status: Open This is a combined section class,MA-UY 4204 - CRC,Ordinary Diff Equations,Regular Academic Session,24821,Undergraduate,0 units,Ugrd Tandon Graded,"A first course in ordinary differential equations, including analytical solution methods, elementary numerical methods, and modeling. Topics to be covered include: first-order equations including integrating factors; second-order equations including variation of parameters; series solutions; elementary numerical methods including Euler's methods, Runge-Kutta methods, and error analysis; Laplace transforms; systems of linear equations; boundary-value problems. Restricted to Tandon math majors and students with a permission code from the math department. Fulfills ordinary differential equations requirement for the BS Math degree.  | Prerequisites: C or better in MA-UY 2114 and (MA-UY 3044 or MA-UY 3054 or MA-UY 3113).  Note: Not open to students who have taken MA-UY 2034.",None,"MA-UY 4204 Prerequisites: C or better in MA-UY 2114 and (MA-UY 3044 or MA-UY 3054 or MA-UY 3113), Anti-Requisites: MA-UY 2034",Qirui Peng,Fr 11:00AM - 12:15PM,01/27/2020 - 05/11/2020,01/27/2020 - 05/11/2020,In-Person,Washington Square,Brooklyn Campus,"Lecture Required, Recitation Required",Open
